symbol,baseAsset,name,quoteVolume,days,firstOpenTime,lastOpenTime,tickSize,displayPriceDecimals,status,spotAllowed,quoteAsset,exclusion,metadataTags,sha256,rank
USDCUSDT,USDC,USDC,446794808663.54901000,261,1767225600000,1789689600000,0.00001000,5,TRADING,True,USDT,stablecoin (including depegged stablecoin designs),['stablecoin'],9e781693536489a9d7758c22ed8893456d78800c580ee3edd1d9fc5180afcb88,
BTCUSDT,BTC,Bitcoin,345068324138.67507920,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,existing_universe,"['Payments', 'mining-zone']",db8d328a7cd19a5083bac90561cc04809caa8645fa49e4b66967c4b040c46435,
ETHUSDT,ETH,Ethereum,202016876818.06690700,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,existing_universe,"['Layer1_Layer2', 'pos', 'mining-zone']",90102a11c628f5d580cab3bb201be35515bb7bab76bdd3da367fd0d23b4c5850,
SOLUSDT,SOL,Solana,64473748608.21184000,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,existing_universe,"['Layer1_Layer2', 'pos', 'mining-zone', 'Solana']",7758a872572e885dc8d8d9b1df3e683c560d04a8838d6218b3e8ddd7bb4acc20,
USD1USDT,USD1,World Liberty Financial USD,44351057507.62996000,261,1767225600000,1789689600000,0.00001000,5,TRADING,True,USDT,stablecoin (including depegged stablecoin designs),['stablecoin'],eacc5a42f39e15fe30fa0c59493f98cca346cb8ffff6c7b814f22cb18c6f2d03,
XRPUSDT,XRP,XRP,42191947297.53636000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,existing_universe,"['Layer1_Layer2', 'Payments']",50ebcb9fd517cd6590cca08e5f052967033a6ea3fb2a8e05c690376aef2af5cb,
ZECUSDT,ZEC,Zcash,30276050996.82210000,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,existing_universe,"['Payments', 'Layer1_Layer2']",c4a359eb201999282a624f7bc3c2c3091a86775467cfa3005135ba96482bcd52,
BNBUSDT,BNB,BNB,25131282041.93273000,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,existing_universe,"['Layer1_Layer2', 'pos', 'BSC']",639509165452ef0788f6642680ed56ab9c9e4ecd084f03d7144d47b8011508f1,
DOGEUSDT,DOGE,Dogecoin,20464105091.23329000,261,1767225600000,1789689600000,0.00001000,5,TRADING,True,USDT,existing_universe,"['Meme', 'mining-zone']",aa41c37be74d20d3c2142deacca6a3ae5f048d113c0f71f66bd5876197874923,
FDUSDUSDT,FDUSD,First Digital USD,11719388119.94690000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,stablecoin (including depegged stablecoin designs),['stablecoin'],2f08fa7098bd3ce18f90f5844c1d89fdd19d6f3bd229b72e4c9cf5161f444a4e,
SUIUSDT,SUI,Sui,11524719209.76761000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,,"['Layer1_Layer2', 'Launchpool', 'pos']",2e2b684101c9ef6fc5e8e85fd5cd3491df5252b0f127e3492340cdec23dfc7b8,1
PAXGUSDT,PAXG,PAX Gold,11379496194.11146300,261,1767225600000,1789689600000,0.01000000,2,TRADING,True,USDT,commodity-pegged representation,['tCommodities'],0e82075fa615872e52f763d6777ddc4c52f1c8377fc92e3659469b22423515da,
TRXUSDT,TRX,TRON,10128968314.98334000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,existing_universe,"['Layer1_Layer2', 'mining-zone', 'pos']",a009175ca608c2f2e216f68358267e402f88dd9e6f907ccfcf7e6bd82b8a03c0,
NIGHTUSDT,NIGHT,Midnight,9905832262.18606000,192,1773187200000,1789689600000,0.00001000,5,TRADING,True,USDT,,"['Infrastructure', 'Layer1_Layer2', 'Seed']",ca9c6b4cbb94d66084df0a56f37140844c0e583cbf1b2b3924cc31200b6e1ced,2
NEARUSDT,NEAR,NEAR Protocol,9557436410.06610000,261,1767225600000,1789689600000,0.00100000,3,TRADING,True,USDT,,"['Layer1_Layer2', 'pos']",3ee9a5512c4e3d7c61304444f92db0f19a044f48b664da101ae59d6f868a4b85,3
PEPEUSDT,PEPE,Pepe,9393896856.05057355,261,1767225600000,1789689600000,0.00000001,8,TRADING,True,USDT,,"['Meme', 'innovation-zone']",38604c8208492fa2bd1d21a2a1d4e5cbf68b0812eba094779972a86b858eb756,4
ADAUSDT,ADA,Cardano,8801209042.52876000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,,"['Layer1_Layer2', 'pos', 'mining-zone']",ef07645de7f79c9d56930dd5445df7bf9e384be5b9b6a9026b6fad5495bc88a5,5
TAOUSDT,TAO,Bittensor,8719733267.53339000,261,1767225600000,1789689600000,0.10000000,1,TRADING,True,USDT,,"['Layer1_Layer2', 'AI']",f9b59aad556b5cd1676ca705f8efd735ff56b7a7234111b3694c9fa149e62175,6
RLUSDUSDT,RLUSD,Ripple USD,8100822106.29960000,240,1769040000000,1789689600000,0.00010000,4,TRADING,True,USDT,stablecoin (including depegged stablecoin designs),['stablecoin'],7bbb31da939c843fd3f9446f45e0a769bed013e547c0f7fc9a6776e9df129fe3,
WLDUSDT,WLD,Worldcoin,7908521895.59872000,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,,"['AI', 'Infrastructure']",e8d40eaf4824e033b5d0daf8c4c00f75b011acd37f9c5bc5f56a0da034a3a7bc,7
LINKUSDT,LINK,ChainLink,6740063466.39738000,261,1767225600000,1789689600000,0.00100000,3,TRADING,True,USDT,existing_universe,"['AI', 'RWA', 'defi']",f5185655ef134226e1528a04a6e3a0da5dd636b125ab96ac378737909e47a38d,
XAUTUSDT,XAUT,Tether Gold,5772527798.78727700,177,1774483200000,1789689600000,0.01000000,2,TRADING,True,USDT,commodity-pegged representation,['tCommodities'],812dd4a6148043f371ee0fe7165cf0e1d7ad80575202a9282009bab558679a23,
ENAUSDT,ENA,Ethena,5685639156.57166100,261,1767225600000,1789689600000,0.00010000,4,TRADING,True,USDT,,"['defi', 'Launchpool']",93459d64f918fdb30aab85b3891497c2cc320ebeeb474403b0809117056cfd26,8
AVAXUSDT,AVAX,Avalanche,5632948921.55401000,261,1767225600000,1789689600000,0.00100000,3,TRADING,True,USDT,,"['Layer1_Layer2', 'pos', 'RWA']",db4862d334f81d2dd05275d8aad3f6292b2caa1fe416e648e3c054599eedcad2,9
